inv_logo,inv_id,inv_name,inv_description,inv_type,inv_blob,inv_archive_status,inv_copies
,,"Introduction to Automata Theory, Languages, and Computation",This book contains about Automata theory and computation.,BOOK,,TRUE,3
,,Computer Architecture: A Quantitative Approach,This book contains about computer architecture.,BOOK,,TRUE,4
,,Data Structures and Algorithms in Python,This book contains about data structure and algorithms.,BOOK,,TRUE,3
,,Computer Organization and Architecture: Designing for Performance,This book contains about computer organization and design.,BOOK,,TRUE,3
,,Introduction to Artificial Intelligence,This book contains about artificial intelligence.,BOOK,,TRUE,2
,,Machine Learning,This book contains about machine learning.,BOOK,,TRUE,4
,,Web Technologies: A Computer Science Perspective,This book contains about web technologies.,BOOK,,TRUE,3
,,Python Programming Language,This video contains about Python language.,VIDEO,https://youtu.be/kqtD5dpn9C8,TRUE,5
,,C programming,This video contains about C-programming language.,VIDEO,https://youtu.be/JOfK95bzwCA,TRUE,5
,,C sharp,This video contains about C(#) language.,VIDEO,https://youtu.be/MhdxhUgSpFw,TRUE,5
,,MySQL ,This video contains about MySQL.,VIDEO,https://youtu.be/7S_tz1z_5bA,TRUE,5
,,Machine Learning,This video contains about Machine Learning.,VIDEO,https://youtu.be/7eh4d6sabA0,TRUE,5
,,Docker,This video contains about Docker.,VIDEO,https://youtu.be/rOTqprHv1YE,TRUE,5
,,Kuberneters,This video contains about Kuberneters.,VIDEO,https://youtu.be/X48VuDVv0do,TRUE,5
,,Data Science ,This video contains about DataScience.,VIDEO,https://youtu.be/JL_grPUnXzY,TRUE,5
,,Flask,This video contains about Flask.,VIDEO,https://youtu.be/MwZwr5Tvyxo,TRUE,5
,,Django,This video contains about Django Web-framework.,VIDEO,https://youtu.be/rHux0gMZ3Eg,TRUE,5
,,Advanced Algorithms,This e-book consists about Advance algorithms.,E-BOOK,Book1.pdf,TRUE,5
,,"Design,Analysis and Algorithms","This e-book consists about design,analyis and algorithms.",E-BOOK,Book2.pdf,TRUE,5
,,Compiler Construction,This e-book consists about compiler construction.,E-BOOK,Book3.pdf,TRUE,5
,,Object Oriented Programming with C++ and Java,This e-book consists about object oriented programming.,E-BOOK,Book4.pdf,TRUE,5
,,Operating System ,This e-book consists about operating systems.,E-BOOK,Book5.pdf,TRUE,5
,,Introduction to the theory of Computation,This e-book consists about the theory of computation.,E-BOOK,Book6.pdf,TRUE,5
,,Intermediate C Programming,This e-book consists about intermediate C programming.,E-BOOK,Book7.pdf,TRUE,5
,,Python Programming ,This e-book consists about python programming.,E-BOOK,Book8.pdf,TRUE,5
,,Computer Graphics ,This e-book consists about computer graphics.,E-BOOK,Book9.pdf,TRUE,5
,,Introduction to computer system ,This e-book consists about the computer system.,E-BOOK,Book10.pdf,TRUE,5
